c,z,k,a,c_,z_,k_,a_,matched,trial
0.0,1.0999999999999998668,1.5600000000000000533,0.7874015748031494576,0.0,1.0999762842329874335,1.5600000000000000533,0.78740157480314942884,1.0,1.0
0.0,0.5,2.9200000000000012612,1.1300000000000001155,0.0,0.49999976208761726104,2.9200000000000008171,1.1299999999999998934,1.0,1.0
0.0,1.2999999999999998224,1.5200000000000000178,1.0400000000000000355,0.0,1.2999814638730116112,1.5200000000000000178,1.0400000000000000355,1.0,1.0
0.0,1.8999999999999996891,1.5400000000000000355,1.2400000000000002132,0.0,1.8999624925622364824,1.5400000000000000355,1.2400000000000002132,1.0,1.0
0.0,1.2999999999999998224,2.3600000000000007638,0.8928571428571427722,0.0,1.2999938509291888433,2.3600000000000007638,0.8928571428571426827,1.0,1.0
0.0,1.2999999999999998224,2.0600000000000004974,0.74626865671641774225,0.0,1.2999868053347225505,2.0600000000000004974,0.74626865671641773314,1.0,1.0
0.0,0.999999999999999889,1.8800000000000003375,1.2900000000000002576,0.0,0.99998851648980113804,1.8800000000000003375,1.2900000000000002576,1.0,1.0
0.0,0.5,1.9400000000000003908,0.84033613445378139344,0.0,0.49999549781070001808,1.9400000000000003908,0.8403361344537813027,1.0,1.0
0.0,0.8999999999999999112,2.8800000000000012257,1.3200000000000002842,0.0,0.8999951518904665271,2.8800000000000007816,1.3200000000000002842,1.0,1.0
0.0,1.1999999999999998446,2.860000000000001208,1.3100000000000002753,0.0,1.1999952558926545443,2.8600000000000007638,1.3100000000000002753,1.0,1.0
0.0,0.6999999999999999556,2.340000000000000746,0.98039215686274508096,0.0,0.69999602964066065525,2.340000000000000746,0.98039215686274494566,1.0,1.0
0.0,1.6999999999999997335,1.9600000000000004086,0.76335877862595403803,0.0,1.6999823001844533987,1.9600000000000004086,0.76335877862595402643,1.0,1.0
0.0,1.0999999999999998668,2.000000000000000444,1.0600000000000000533,0.0,1.0999933159984174313,2.000000000000000444,1.0600000000000000533,1.0,1.0
0.0,1.5999999999999997558,2.680000000000001048,1.1200000000000001066,0.0,1.5999932688767546374,2.680000000000000604,1.1200000000000001066,1.0,1.0
0.0,1.8999999999999996891,2.8400000000000011902,1.1600000000000001421,0.0,1.899994971204808758,2.840000000000000746,1.1599999999999999201,1.0,1.0
0.0,1.7999999999999997113,1.6200000000000001066,0.74626865671641774225,0.0,1.7999609164387682103,1.6200000000000001066,0.74626865671641773314,1.0,1.0
0.0,0.5999999999999999778,2.3800000000000007816,0.85470085470085459055,0.0,0.59999808217356243034,2.3800000000000007816,0.85470085470085455093,1.0,1.0
0.0,1.5999999999999997558,2.520000000000000906,1.0600000000000000533,0.0,1.5999920126763271799,2.520000000000000906,1.0600000000000000533,1.0,1.0
0.0,1.1999999999999998446,2.260000000000000675,1.2300000000000002043,0.0,1.1999939728312782883,2.260000000000000675,1.2300000000000002043,1.0,1.0
0.0,1.3999999999999998002,2.860000000000001208,0.75757575757575741263,0.0,1.3999944307039970948,2.8600000000000007638,0.757575757575757347,1.0,1.0
0.0,1.5999999999999997558,2.3800000000000007816,1.0100000000000000089,0.0,1.5999930575191076976,2.3800000000000007816,1.0100000000000000089,1.0,1.0
0.0,1.0999999999999998668,2.8400000000000011902,0.85470085470085459055,0.0,1.0999949002261129039,2.840000000000000746,0.85470085470085455093,1.0,1.0
0.0,0.999999999999999889,2.2800000000000006928,1.340000000000000302,0.0,0.99999168240371272276,2.2800000000000006928,1.340000000000000302,1.0,1.0
0.0,0.7999999999999999334,1.5400000000000000355,0.88495575221238929013,0.0,0.79998735226494244177,1.5400000000000000355,0.8849557522123892017,1.0,1.0
0.0,0.7999999999999999334,2.8000000000000011546,1.1900000000000001688,0.0,0.7999984151473787941,2.8000000000000007105,1.1899999999999999467,1.0,1.0
0.0,1.3999999999999998002,1.9400000000000003908,0.8264462809917354098,0.0,1.3999883122649943168,1.9400000000000003908,0.8264462809917354491,1.0,1.0
0.0,1.2999999999999998224,2.7200000000000010836,1.1800000000000001599,0.0,1.2999946972858620331,2.7200000000000006395,1.1799999999999999378,1.0,1.0
0.0,1.6999999999999997335,2.6200000000000009948,1.2000000000000001776,0.0,1.6999939428940920028,2.6200000000000009948,1.1999999999999999556,1.0,1.0
0.0,1.0999999999999998668,1.6800000000000001599,1.1800000000000001599,0.0,1.099984621858275835,1.6799999999999999378,1.1799999999999999378,1.0,1.0
0.0,0.6999999999999999556,2.2400000000000006573,0.8695652173913042471,0.0,0.6999962537606551072,2.2400000000000006573,0.86956521739130421267,1.0,1.0
0.0,1.0999999999999998668,3.0000000000000013323,0.8620689655172412737,0.0,1.0999935887853236061,3.0000000000000013323,0.8620689655172412147,1.0,1.0
0.0,0.999999999999999889,2.2000000000000006217,0.9615384615384615056,0.0,0.99999506909913427055,2.2000000000000006217,0.9615384615384615641,1.0,1.0
0.0,1.1999999999999998446,2.2800000000000006928,0.75187969924812013504,0.0,1.1999901643503294579,2.2800000000000006928,0.751879699248120148,1.0,1.0
0.0,0.5999999999999999778,2.340000000000000746,1.0400000000000000355,0.0,0.59999736378490209354,2.340000000000000746,1.0400000000000000355,1.0,1.0
0.0,1.2999999999999998224,2.1600000000000005862,1.0600000000000000533,0.0,1.2999915190515047847,2.1600000000000005862,1.0600000000000000533,1.0,1.0
0.0,1.6999999999999997335,2.9200000000000012612,0.7751937984496122483,0.0,1.6999942617681027546,2.9200000000000008171,0.7751937984496122258,1.0,1.0
0.0,1.5999999999999997558,2.3800000000000007816,1.0800000000000000711,0.0,1.5999933661501006821,2.3800000000000007816,1.0800000000000000711,1.0,1.0
0.0,1.499999999999999778,2.260000000000000675,1.340000000000000302,0.0,1.4999894106080779999,2.260000000000000675,1.340000000000000302,1.0,1.0
0.0,1.2999999999999998224,2.9200000000000012612,1.2300000000000002043,0.0,1.2999955351666632186,2.9200000000000008171,1.2300000000000002043,1.0,1.0
0.0,1.6999999999999997335,2.3600000000000007638,1.1000000000000000888,0.0,1.6999906844094261338,2.3600000000000007638,1.1000000000000000888,1.0,1.0
0.0,1.8999999999999996891,1.7800000000000002487,1.1000000000000000888,0.0,1.8999833555527592122,1.7800000000000002487,1.1000000000000000888,1.0,1.0
