c,z,k,a,mean,std,skew,kurt
0.0,1.0,1.5,1.3200000000000002842,0.57527624863690540735,1.6656218336464632124,1.2357748058323365647,5.845647864947270733
0.0,1.0,1.5,1.3300000000000002931,0.59503417165637917385,1.6840392861850210782,1.267091129431661134,5.9560527222207815257
0.0,1.0,1.5,1.340000000000000302,0.61500881009191388227,1.7030162470032847999,1.2980183662443693926,6.0681563778281502053
0.0,1.0,1.5,1.3500000000000003109,0.6352088511112918834,1.7225580145897714246,1.328562619201915096,6.1818943102975172366
0.0,1.0,1.5,1.3600000000000003197,0.6556429719885347174,1.7426702635032049749,1.3587300523888543591,6.297204823910754534
0.0,1.0,1.5,1.3700000000000003286,0.6763198492926967287,1.7633590391783848794,1.3885268805760762056,6.414028982619439212
0.0,1.0,1.5,1.3800000000000003375,0.69724816770573261326,1.7846307534380851934,1.4179593592691939197,6.532310542878362547
0.0,1.0,1.5,1.3900000000000003464,0.71843662850014011756,1.8064921806699074658,1.4470337752639910178,6.651995885655288987
0.0,1.0,1.5,1.4000000000000003553,0.73989395770474419844,1.8289504546305350718,1.4757564376995908617,6.773033947858662529
0.0,1.0,1.5,1.4100000000000003642,0.76162891398492116313,1.8520130658430227211,1.5041336695989298011,6.8953761534088302554
0.0,1.0,1.5,1.420000000000000373,0.78365029626159976583,1.8756878595557149314,1.5321717998851160925,7.018976344161825587
0.0,1.0,1.5,1.4300000000000003819,0.80596695109164706583,1.8999830342340700007,1.5598771558615969202,7.143790710879004635
0.0,1.0,1.5,1.4400000000000003908,0.82858777983062448236,1.9249071405591302586,1.5872560561432522697,7.269777724419870246
0.0,1.0,1.5,1.4500000000000003997,0.85152174559744397975,1.9504690809620248704,1.6143148038925687615,7.3968980665163108768
0.0,1.0,1.5,1.4600000000000004086,0.87477788005909862257,1.9766781095351202424,1.6410596806868162911,7.5251145623342203805
0.0,1.0,1.5,1.4700000000000004174,0.89836529005242315993,2.0035438319595395562,1.667496941856672743,7.6543921202186044894
0.0,1.0,1.5,1.4800000000000004263,0.9222931640587045399,2.0310762073170915976,1.6936328085766785279,7.7846976499454010323
0.0,1.0,1.5,1.4900000000000004352,0.94657077854593696387,2.0592855485083614298,1.7194734648160363566,7.916000009252521785
0.0,1.0,1.5,1.5000000000000004441,0.97120750419256318686,2.0881825240733000726,1.7450250521405270554,8.048269936004722069
0.0,1.0,1.5,0.9900990099009900903,-0.018211953351354268071,1.3644886108896909782,-0.045893342445474182012,3.7647436509364293755
0.0,1.0,1.5,0.98039215686274508096,-0.036261368776323611718,1.3655261487931449338,-0.09132113526438313811,3.7730002977683310128
0.0,1.0,1.5,0.97087378640776696517,-0.05416774134288957626,1.3672323652704618802,-0.13627958042007476402,3.7865585094799909527
0.0,1.0,1.5,0.9615384615384615056,-0.07194958975405839341,1.3695902677876148346,-0.18076542487929003755,3.805255015597856616
0.0,1.0,1.5,0.95238095238095234066,-0.089624535742331992716,1.3725843548416691853,-0.22477595279861023458,3.8289290630232266643
0.0,1.0,1.5,0.9433962264150942922,-0.107209376706106723764,1.3762005128294403367,-0.26830897578943313508,3.8574225319912076593
